top - 05:00:58 up 543 days, 8:56, 1 user, load average: 0.11, 0.03, 0.01
Tasks: 112 total, 1 running, 111 sleeping, 0 stopped, 0 zombie
%Cpu(s): 0.1 us, 0.1 sy, 0.0 ni, 99.8 id, 0.0 wa, 0.0 hi, 0.0 si, 0.0 st
KiB Mem : 499976 total, 41456 free, 51636 used, 406884 buff/cache
KiB Swap: 0 total, 0 free, 0 used. 392008 avail Mem
1 root 20 0 185324 4988 3032 S 0.0 1.0 7:08.14 systemd
2 root 20 0 0 0 0 S 0.0 0.0 0:00.06 kthreadd
3 root 20 0 0 0 0 S 0.0 0.0 3:19.04 ksoftirqd/0
5 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 kworker/0:0H
7 root 20 0 0 0 0 S 0.0 0.0 7:29.74 rcu_sched
8 root 20 0 0 0 0 S 0.0 0.0 0:00.00 rcu_bh
9 root rt 0 0 0 0 S 0.0 0.0 0:00.00 migration/0
10 root rt 0 0 0 0 S 0.0 0.0 4:36.48 watchdog/0
11 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kdevtmpfs
12 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 netns
13 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 perf
14 root 20 0 0 0 0 S 0.0 0.0 0:13.48 khungtaskd
15 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 writeback
16 root 25 5 0 0 0 S 0.0 0.0 0:00.00 ksmd
17 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 crypto
18 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 kintegrityd
19 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
20 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 kblockd
21 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 ata_sff
22 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 md
23 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 devfreq_wq
27 root 20 0 0 0 0 S 0.0 0.0 22:01.55 kswapd0
28 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 vmstat
29 root 20 0 0 0 0 S 0.0 0.0 0:00.00 fsnotify_ma+
30 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ecryptfs-kt+
46 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 kthrotld
47 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 acpi_therma+
48 root 20 0 0 0 0 S 0.0 0.0 0:00.00 vballoon
49 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
50 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
51 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
52 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
53 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
54 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
55 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
56 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
57 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
58 root 20 0 0 0 0 S 0.0 0.0 0:00.00 scsi_eh_0
59 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 scsi_tmf_0
60 root 20 0 0 0 0 S 0.0 0.0 0:00.00 scsi_eh_1
61 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 scsi_tmf_1
67 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 ipv6_addrco+
80 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 deferwq
81 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 charger_man+
128 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
129 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
130 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
131 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
132 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
133 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
134 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
135 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
137 root 20 0 0 0 0 S 0.0 0.0 0:00.00 scsi_eh_2
138 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 scsi_tmf_2
145 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 kpsmoused
496 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 raid5wq
526 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset
551 root 20 0 0 0 0 S 0.0 0.0 4:41.75 jbd2/vda1-8
552 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 ext4-rsv-co+
614 root 20 0 27708 2248 1924 S 0.0 0.4 48:36.07 systemd-jou+
621 root 0 -20 0 0 0 S 0.0 0.0 0:36.37 kworker/0:1H
632 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 iscsi_eh
648 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 ib_addr
651 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 ib_mcast
